FHRS_ID,BUSINESS_NAME,BUSINESS_TYPE,LOCAL_AUTHORITY_NAME,LATITUDE,LONGITUDE,RATING_VALUE,INCOME_DECILE,PREDICTED_RATING,RISK_SCORE
4993,The Archbishop Lanfranc Academy,School/college/university,Croydon,51.39122,-0.13057,5,3,pass,0.13
5001,Burger King,Restaurant/Cafe/Canteen,Croydon,51.37813,-0.12454,5,2,fail,0.446
5031,Kenley Kindergarten,Caring Premises,Croydon,51.31503,-0.08633,4,6,pass,0.156
5052,Daffodils Day Nursery,Caring Premises,Croydon,51.40739,-0.11387,5,2,pass,0.205
5065,Kinderland Day Nursery,Caring Premises,Croydon,51.35955,-0.08924,5,4,pass,0.179
5077,"Marks & Spencer - Hot Food On The Move, Cafe Revive",Retailers - supermarkets/hypermarkets,Croydon,51.37738,-0.10156,5,2,pass,0.223
5089,Croydon Bowling Club Ltd,Restaurant/Cafe/Canteen,Croydon,51.36384,-0.103,5,2,fail,0.446
5117,C.A.C.F.O Luncheon Club,Caring Premises,Croydon,51.40723,-0.10362,4,2,pass,0.205
5119,David Livingstone Academy,School/college/university,Croydon,51.40943,-0.09787,5,4,pass,0.12
5134,Croydon & District Masonic Hall,Other catering premises,Croydon,51.38184,-0.10126,4,2,pass,0.322
5156,All Saints Church Hall,Other catering premises,Croydon,51.33545,-0.07461,5,8,pass,0.224
5165,Greenshaw Learning Trust @ Orchard Park High School,School/college/university,Croydon,51.38175,-0.04094,5,8,pass,0.089
5209,Achieve Together,Caring Premises,Croydon,51.4015,-0.10059,5,2,pass,0.205
5211,Shiv Newsagent,Retailers - other,Croydon,51.40355,-0.1015,4,2,fail,0.527
5221,Hill House Nursing Home,Caring Premises,Croydon,51.32179,-0.10794,5,9,pass,0.126
5227,Pawsons Arms,Pub/bar/nightclub,Croydon,51.39309,-0.09606,4,1,fail,0.362
5237,Cheers Off Licence,Retailers - other,Croydon,51.40304,-0.06996,4,3,fail,0.506
5262,Coulsdon Sixth Form College,School/college/university,Croydon,51.30558,-0.1205,5,8,pass,0.089
